ResponseID,ResponseSet,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Condition,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q11,Q12,State Born?,Grow Up?,years in home state,Q15,Q111,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121,Q122,Q123,Q194,Q195,Q196,Q197,Q198,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208,Q209,Critical Question_2,RandStateIns,Random State_2(102),Random State_2(103),Random State_2(104),Random State_2(105),Random State_2(106),Random State_2(107),Random State_2(108),Random State_2(109),Random State_2(110),Random State_2(111),Random State_2(112),Random State_2(113),Random State_2(114),Random State_2(115),Random State_2(116),Random State_2(117),Random State_2(118),Random State_2(119),Random State_2(120),Random State_2(121),Random State_2(122),Random State_2(123),Random State_2(124),Random State_2(125),Random State_2(126),Random State_2(127),Random State_2(128),Random State_2(129),Random State_2(130),Random State_2(131),Random State_2(132),Random State_2(133),Random State_2(134),Random State_2(135),Random State_2(136),Random State_2(137),Random State_2(138),Random State_2(139),Random State_2(140),Random State_2(141),Random State_2(142),Random State_2(143),Random State_2(144),Random State_2(145),Random State_2(146),Random State_2(147),Random State_2(148),Random State_2(149),Random State_2(150),Random State_2(151),Q214,Q215,Q216,Q141_1,Q141_2,Q141_3,Q217,Q218,100% Question_1,100% Question_2,100% Question_3,100% Question_4,100% Question_5,Q157,Q83,Q124_1,Q124_2,Q124_3,Q124_4,Q124_5,Q124_6,Q124_7,Q124_8,Q124_9,Q124_10,Q124_11,Q124_12,Q124_13,Q124_14,Q124_15,Q124_16,Q124_17,Q124_18,Q124_19,Q124_20,Q124_21,Q124_22,Q124_23,Q124_24,Q124_25,Q124_26,Q124_27,Q124_28,Q124_29,Q124_30,Q124_31,Q124_32,Q124_33,Q124_34,Q124_35,Q124_36,Q124_37,Q124_38,Q124_39,Q124_40,Q124_41,Q124_42,Q124_43,Q124_44,Q124_45,Q124_46,Q124_47,Q124_48,Q124_49,Q124_50,Q124_51,Q124_52,Q84,Q85,Q92,Q87,Q127,Last Page
ResponseID,ResponseSet,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,Score-sum,Score-weightedAvg,Score-weightedStdDev,Condition,Welcome! 隷 Informed Consent State Contributions to U.S. History 隷 隷 You are invited to participat...,"Do you agree to participate in this study? If so, please select 'yes' below. 隷 隷","IMPORTANT:隷 隷 We are interested in what you already隷know about United States history, so please d...",Please answer the following questions about yourself.,Age:,Sex:,Citizenship:,Highest level of education completed:隷,Are you a fluent English speaker?,What state were you born in?,What state did you grow up in?,"How many years did you live there? (Or how many years have you lived there, if you still live in...",What state do you currently live in?,"In the spaces provided below, please list the隷TEN隷most important events of隷United States History,...",1.隷,2.隷,3.隷,4.隷,5.隷,6.隷,7.隷,8.隷,9.隷,10,You will now be asked 15 general knowledge questions about United States History.隷 For each quest...,Which ally during the Revolutionary War was most instrumental to United States victory?,Which of the following tax acts was not passed during the time leading up to or during the Revolu...,What were the first ten amendments to the constitution called?,Which of the following politicians was not a US president?,"Which president was an enthusiastic supporter the National Park Service, doubling the number of n...",President Thomas Jefferson doubled the size of the United States through the Louisiana Purchase w...,Which Supreme Court case declared that states cannot ban slavery?,When was the Civil War?,The United States entered World War I in what year?,Which amendment granted women suffrage (the right to vote)?,The Great Depression began with the crash of the stock market in what year?,Which foreign power was NOT opposed to the U.S. in World War II?,The Vietnam War was fought to stop the spread of what form of government?,"What year did the United States win the space race, when Neil Armstrong stepped foot on the moon?","In 1981, hostages were released after being held for 444 days from what Middle Eastern country?","You said that you grew up in隷${q://QID14/ChoiceGroup/SelectedChoices}. 隷 In terms of percentage,...-Percent Responsible",Thank you! We will now ask you some questions about states that you did not grow up in.,"In terms of percentage, what do you think was隷Alabama's contribution to the history of th... (102)-Percent Responsible","In terms of percentage, what do you think was隷Alaska's contribution to the history of th... (103)-Percent Responsible","In terms of percentage, what do you think was隷Arizona's contribution to the history of th... (104)-Percent Responsible","In terms of percentage, what do you think was隷Arkansas's contribution to the history of th... (105)-Percent Responsible","In terms of percentage, what do you think was隷California's contribution to the history of th... (106)-Percent Responsible","In terms of percentage, what do you think was隷Colorado's contribution to the history of th... (107)-Percent Responsible","In terms of percentage, what do you think was隷Connecticut's contribution to the history of th... (108)-Percent Responsible","In terms of percentage, what do you think was隷Delaware's contribution to the history of th... (109)-Percent Responsible","In terms of percentage, what do you think was隷Florida's contribution to the history of th... (110)-Percent Responsible","In terms of percentage, what do you think was隷Georgia's contribution to the history of th... (111)-Percent Responsible","In terms of percentage, what do you think was隷Hawaii's contribution to the history of th... (112)-Percent Responsible","In terms of percentage, what do you think was隷Idaho's contribution to the history of th... (113)-Percent Responsible","In terms of percentage, what do you think was隷Illinois's contribution to the history of th... (114)-Percent Responsible","In terms of percentage, what do you think was隷Indiana's contribution to the history of th... (115)-Percent Responsible","In terms of percentage, what do you think was隷Iowa's contribution to the history of th... (116)-Percent Responsible","In terms of percentage, what do you think was隷Kansas's contribution to the history of th... (117)-Percent Responsible","In terms of percentage, what do you think was隷Kentucky's contribution to the history of th... (118)-Percent Responsible","In terms of percentage, what do you think was隷Louisiana's contribution to the history of th... (119)-Percent Responsible","In terms of percentage, what do you think was隷Maine's contribution to the history of th... (120)-Percent Responsible","In terms of percentage, what do you think was隷Maryland's contribution to the history of th... (121)-Percent Responsible","In terms of percentage, what do you think was隷Massachusetts's contribution to the history of th... (122)-Percent Responsible","In terms of percentage, what do you think was隷Michigan's contribution to the history of th... (123)-Percent Responsible","In terms of percentage, what do you think was隷Minnesota's contribution to the history of th... (124)-Percent Responsible","In terms of percentage, what do you think was隷Mississippi's contribution to the history of th... (125)-Percent Responsible","In terms of percentage, what do you think was隷Missouri's contribution to the history of th... (126)-Percent Responsible","In terms of percentage, what do you think was隷Montana's contribution to the history of th... (127)-Percent Responsible","In terms of percentage, what do you think was隷Nebraska's contribution to the history of th... (128)-Percent Responsible","In terms of percentage, what do you think was隷Nevada's contribution to the history of th... (129)-Percent Responsible","In terms of percentage, what do you think was隷New Hampshire's contribution to the history of th... (130)-Percent Responsible","In terms of percentage, what do you think was隷New Jersey's contribution to the history of th... (131)-Percent Responsible","In terms of percentage, what do you think was隷New Mexico's contribution to the history of th... (132)-Percent Responsible","In terms of percentage, what do you think was隷New York's contribution to the history of th... (133)-Percent Responsible","In terms of percentage, what do you think was隷North Carolina's contribution to the history of th... (134)-Percent Responsible","In terms of percentage, what do you think was隷North Dakota's contribution to the history of th... (135)-Percent Responsible","In terms of percentage, what do you think was隷Ohio's contribution to the history of th... (136)-Percent Responsible","In terms of percentage, what do you think was隷Oklahoma's contribution to the history of th... (137)-Percent Responsible","In terms of percentage, what do you think was隷Oregon's contribution to the history of th... (138)-Percent Responsible","In terms of percentage, what do you think was隷Pennsylvania's contribution to the history of th... (139)-Percent Responsible","In terms of percentage, what do you think was隷Rhode Island's contribution to the history of th... (140)-Percent Responsible","In terms of percentage, what do you think was隷South Carolina's contribution to the history of th... (141)-Percent Responsible","In terms of percentage, what do you think was隷South Dakota's contribution to the history of th... (142)-Percent Responsible","In terms of percentage, what do you think was隷Tennessee's contribution to the history of th... (143)-Percent Responsible","In terms of percentage, what do you think was隷Texas's contribution to the history of th... (144)-Percent Responsible","In terms of percentage, what do you think was隷Utah's contribution to the history of th... (145)-Percent Responsible","In terms of percentage, what do you think was隷Vermont's contribution to the history of th... (146)-Percent Responsible","In terms of percentage, what do you think was隷Virginia's contribution to the history of th... (147)-Percent Responsible","In terms of percentage, what do you think was隷Washington's contribution to the history of th... (148)-Percent Responsible","In terms of percentage, what do you think was隷West Virginia's contribution to the history of th... (149)-Percent Responsible","In terms of percentage, what do you think was隷Wisconsin's contribution to the history of th... (150)-Percent Responsible","In terms of percentage, what do you think was隷Wyoming's contribution to the history of th... (151)-Percent Responsible",Which state has contributed the most to United States history?,Which state has contributed the second most to United States history?,Which state has contributed the third most to United States history?,How responsible were these states for United States history?-${q://QID214/ChoiceGroup/SelectedChoices}'s Percent Responsible,How responsible were these states for United States history?-${q://QID215/ChoiceGroup/SelectedChoices}'s Percent Responsible,How responsible were these states for United States history?-${q://QID216/ChoiceGroup/SelectedChoices}'s Percent Responsible,Which state has contributed the least to United States history?,What state currently has the most sway over the country?,"In terms of percentage, how much do you think each of the following states has contributed to Uni...-${q://QID14/ChoiceGroup/SelectedChoices}","In terms of percentage, how much do you think each of the following states has contributed to Uni...-${q://QID214/ChoiceGroup/SelectedChoices}","In terms of percentage, how much do you think each of the following states has contributed to Uni...-${q://QID215/ChoiceGroup/SelectedChoices}","In terms of percentage, how much do you think each of the following states has contributed to Uni...-${q://QID216/ChoiceGroup/SelectedChoices}","In terms of percentage, how much do you think each of the following states has contributed to Uni...-All Other States",One of the hypotheses about this experiment is that people will over-estimate the degree to which...,Post-Survey\Questions:隷\ \\ Please answer the following\ questions.,Please select the states you have lived in for over five years. -I have not lived in any state for over five years.,Please select the states you have lived in for over five years. -Alabama,Please select the states you have lived in for over five years. -Alaska,Please select the states you have lived in for over five years. -Arizona,Please select the states you have lived in for over five years. -Arkansas,Please select the states you have lived in for over five years. -California,Please select the states you have lived in for over five years. -Colorado,Please select the states you have lived in for over five years. -Connecticut,Please select the states you have lived in for over five years. -Delaware,Please select the states you have lived in for over five years. -Florida,Please select the states you have lived in for over five years. -Georgia,Please select the states you have lived in for over five years. -Hawaii,Please select the states you have lived in for over five years. -Idaho,Please select the states you have lived in for over five years. -Illinois,Please select the states you have lived in for over five years. -Indiana,Please select the states you have lived in for over five years. -Iowa,Please select the states you have lived in for over five years. -Kansas,Please select the states you have lived in for over five years. -Kentucky,Please select the states you have lived in for over five years. -Louisiana,Please select the states you have lived in for over five years. -Maine,Please select the states you have lived in for over five years. -Maryland,Please select the states you have lived in for over five years. -Massachusetts,Please select the states you have lived in for over five years. -Michigan,Please select the states you have lived in for over five years. -Minnesota,Please select the states you have lived in for over five years. -Mississippi,Please select the states you have lived in for over five years. -Missouri,Please select the states you have lived in for over five years. -Montana,Please select the states you have lived in for over five years. -Nebraska,Please select the states you have lived in for over five years. -Nevada,Please select the states you have lived in for over five years. -New Hampshire,Please select the states you have lived in for over five years. -New Jersey,Please select the states you have lived in for over five years. -New Mexico,Please select the states you have lived in for over five years. -New York,Please select the states you have lived in for over five years. -North Carolina,Please select the states you have lived in for over five years. -North Dakota,Please select the states you have lived in for over five years. -Ohio,Please select the states you have lived in for over five years. -Oklahoma,Please select the states you have lived in for over five years. -Oregon,Please select the states you have lived in for over five years. -Pennsylvania,Please select the states you have lived in for over five years. -Rhode Island,Please select the states you have lived in for over five years. -South Carolina,Please select the states you have lived in for over five years. -South Dakota,Please select the states you have lived in for over five years. -Tennessee,Please select the states you have lived in for over five years. -Texas,Please select the states you have lived in for over five years. -Utah,Please select the states you have lived in for over five years. -Vermont,Please select the states you have lived in for over five years. -Virginia,Please select the states you have lived in for over five years. -Washington,Please select the states you have lived in for over five years. -Washington D.C.,Please select the states you have lived in for over five years. -West Virginia,Please select the states you have lived in for over five years. -Wisconsin,Please select the states you have lived in for over five years. -Wyoming,Did you look up any answers or information about United States history while completing this survey?,During what part of the survey did\you look something up?隷\ What did you look up?隷\\ \\ Please be...,How difficult did you find this survey to complete?,Please provide any other comments you\might have below:,Thanks again for your participation. Psychological science would not be possible without your hel...,Thank you very much for participating in our survey. We appreciate your time. 隷 The purpose of th...
{'ImportId': 'responseId'},{'ImportId': 'responseSetId'},{'ImportId': 'startDate'},{'ImportId': 'endDate'},{'ImportId': 'panel-RecipientLastName'},{'ImportId': 'panel-RecipientFirstName'},{'ImportId': 'panel-RecipientEmail'},{'ImportId': 'panel-ExternalDataReference'},{'ImportId': 'finished'},{'ImportId': 'status'},{'ImportId': 'SC_bCn1V054TMxgvYN-sum'},{'ImportId': 'SC_bCn1V054TMxgvYN-weightedAvg'},{'ImportId': 'SC_bCn1V054TMxgvYN-weightedStdDev'},{'ImportId': 'embeddedData-Condition'},{'ImportId': 'QID3'},{'ImportId': 'QID4'},{'ImportId': 'QID6'},{'ImportId': 'QID7'},{'ImportId': 'QID8'},{'ImportId': 'QID9'},{'ImportId': 'QID10-TEXT'},{'ImportId': 'QID11'},{'ImportId': 'QID12'},{'ImportId': 'QID13'},{'ImportId': 'QID14'},{'ImportId': 'QID127'},{'ImportId': 'QID15'},{'ImportId': 'QID111'},{'ImportId': 'QID114-TEXT'},{'ImportId': 'QID115-TEXT'},{'ImportId': 'QID116-TEXT'},{'ImportId': 'QID117-TEXT'},{'ImportId': 'QID118-TEXT'},{'ImportId': 'QID119-TEXT'},{'ImportId': 'QID120-TEXT'},{'ImportId': 'QID121-TEXT'},{'ImportId': 'QID122-TEXT'},{'ImportId': 'QID123-TEXT'},{'ImportId': 'QID194'},{'ImportId': 'QID195'},{'ImportId': 'QID196'},{'ImportId': 'QID197'},{'ImportId': 'QID198'},{'ImportId': 'QID199'},{'ImportId': 'QID200'},{'ImportId': 'QID201'},{'ImportId': 'QID202'},{'ImportId': 'QID203'},{'ImportId': 'QID204'},{'ImportId': 'QID205'},{'ImportId': 'QID206'},{'ImportId': 'QID207'},{'ImportId': 'QID208'},{'ImportId': 'QID209'},{'ImportId': 'QID89-2'},{'ImportId': 'QID219'},{'ImportId': '102_QID156-2'},{'ImportId': '103_QID156-2'},{'ImportId': '104_QID156-2'},{'ImportId': '105_QID156-2'},{'ImportId': '106_QID156-2'},{'ImportId': '107_QID156-2'},{'ImportId': '108_QID156-2'},{'ImportId': '109_QID156-2'},{'ImportId': '110_QID156-2'},{'ImportId': '111_QID156-2'},{'ImportId': '112_QID156-2'},{'ImportId': '113_QID156-2'},{'ImportId': '114_QID156-2'},{'ImportId': '115_QID156-2'},{'ImportId': '116_QID156-2'},{'ImportId': '117_QID156-2'},{'ImportId': '118_QID156-2'},{'ImportId': '119_QID156-2'},{'ImportId': '120_QID156-2'},{'ImportId': '121_QID156-2'},{'ImportId': '122_QID156-2'},{'ImportId': '123_QID156-2'},{'ImportId': '124_QID156-2'},{'ImportId': '125_QID156-2'},{'ImportId': '126_QID156-2'},{'ImportId': '127_QID156-2'},{'ImportId': '128_QID156-2'},{'ImportId': '129_QID156-2'},{'ImportId': '130_QID156-2'},{'ImportId': '131_QID156-2'},{'ImportId': '132_QID156-2'},{'ImportId': '133_QID156-2'},{'ImportId': '134_QID156-2'},{'ImportId': '135_QID156-2'},{'ImportId': '136_QID156-2'},{'ImportId': '137_QID156-2'},{'ImportId': '138_QID156-2'},{'ImportId': '139_QID156-2'},{'ImportId': '140_QID156-2'},{'ImportId': '141_QID156-2'},{'ImportId': '142_QID156-2'},{'ImportId': '143_QID156-2'},{'ImportId': '144_QID156-2'},{'ImportId': '145_QID156-2'},{'ImportId': '146_QID156-2'},{'ImportId': '147_QID156-2'},{'ImportId': '148_QID156-2'},{'ImportId': '149_QID156-2'},{'ImportId': '150_QID156-2'},{'ImportId': '151_QID156-2'},{'ImportId': 'QID214'},{'ImportId': 'QID215'},{'ImportId': 'QID216'},{'ImportId': 'QID141-1'},{'ImportId': 'QID141-2'},{'ImportId': 'QID141-3'},{'ImportId': 'QID217'},{'ImportId': 'QID218'},{'ImportId': 'QID213-1'},{'ImportId': 'QID213-2'},{'ImportId': 'QID213-3'},{'ImportId': 'QID213-4'},{'ImportId': 'QID213-5'},{'ImportId': 'QID157'},{'ImportId': 'QID83'},{'ImportId': 'QID124-1'},{'ImportId': 'QID124-2'},{'ImportId': 'QID124-3'},{'ImportId': 'QID124-4'},{'ImportId': 'QID124-5'},{'ImportId': 'QID124-6'},{'ImportId': 'QID124-7'},{'ImportId': 'QID124-8'},{'ImportId': 'QID124-9'},{'ImportId': 'QID124-10'},{'ImportId': 'QID124-11'},{'ImportId': 'QID124-12'},{'ImportId': 'QID124-13'},{'ImportId': 'QID124-14'},{'ImportId': 'QID124-15'},{'ImportId': 'QID124-16'},{'ImportId': 'QID124-17'},{'ImportId': 'QID124-18'},{'ImportId': 'QID124-19'},{'ImportId': 'QID124-20'},{'ImportId': 'QID124-21'},{'ImportId': 'QID124-22'},{'ImportId': 'QID124-23'},{'ImportId': 'QID124-24'},{'ImportId': 'QID124-25'},{'ImportId': 'QID124-26'},{'ImportId': 'QID124-27'},{'ImportId': 'QID124-28'},{'ImportId': 'QID124-29'},{'ImportId': 'QID124-30'},{'ImportId': 'QID124-31'},{'ImportId': 'QID124-32'},{'ImportId': 'QID124-33'},{'ImportId': 'QID124-34'},{'ImportId': 'QID124-35'},{'ImportId': 'QID124-36'},{'ImportId': 'QID124-37'},{'ImportId': 'QID124-38'},{'ImportId': 'QID124-39'},{'ImportId': 'QID124-40'},{'ImportId': 'QID124-41'},{'ImportId': 'QID124-42'},{'ImportId': 'QID124-43'},{'ImportId': 'QID124-44'},{'ImportId': 'QID124-45'},{'ImportId': 'QID124-46'},{'ImportId': 'QID124-47'},{'ImportId': 'QID124-48'},{'ImportId': 'QID124-49'},{'ImportId': 'QID124-50'},{'ImportId': 'QID124-51'},{'ImportId': 'QID124-52'},{'ImportId': 'QID84'},{'ImportId': 'QID85-TEXT'},{'ImportId': 'QID92'},{'ImportId': 'QID87-TEXT'},{'ImportId': 'QID126'},{'ImportId': 'QID88'}
R_25Aa6LCofde8VOs,Default Response Set,1/4/17 16:59,1/4/17 17:08,,,,,1,0,14,1,0,P,1,Yes,1,1,27,Male,US,Master's Degree,Yes,Georgia,Georgia,11 to 15,Illinois,1,Jamestown Colony,Plymouth Colony,American Revolution,World War II,Spanish-American War,World War I,Cold War,French and Indian War,Civil War,9/11 attacks,1,France,Howe Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Russia,Communism,1967,Iran,63,1,24,,,,36,,,37,,,,,,,,,,,31,49,,24,,56,,,,,,,,,,14,,,,,,,15,,64,,,,,,,,Virginia,Massachusetts,Texas,40,40,20,Washington,Texas,5,35,35,20,5,Kentucky,1,,,,,,,,,,,Georgia,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,I love history,1,1
R_3G2E7aThvql81AV,Default Response Set,1/4/17 17:04,1/4/17 17:13,,,,,1,0,8,1,0,NP,1,Yes,1,1,31,Female,USA,Bachelor's Degree,Yes,Georgia,Georgia,More than 20,California,1,End of slavory,The constitution,first black presenident,same sex marrage,Womens right for an abortion,womanes right to vote,11-Sep,the civil war,End of segregation,Cuba sanctions,1,France,Howe Tariffs,The Federalist Papers,Alexander Hamilton,Theodore Roosevelt,France,Plessy v. Ferguson,1766-1781,1913,19th,1929,Italy,Communism,1967,Kuwait,68,1,,,,,,,,,,,,,,,,38,,,,,,,34,,43,,,,41,64,,,,,,,46,,,63,,,64,,45,,,,46,,Washington,New York,Georgia,67,51,40,Hawaii,California,20,30,30,10,10,New York,1,,,,,,California,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Difficult,,1,1
R_2BmP9xCV7Ydm0w2,Default Response Set,1/4/17 17:06,1/4/17 17:14,,,,,1,0,13,1,0,NP,1,Yes,1,1,27,Male,American,Associate's Degree,Yes,California,Georgia,11 to 15,Texas,1,Slavery,Louisiana Purchase,Expansion,Inventions,Winning Side of WWII,Korean War,Industrial Revolution,Telephone,Computer,Internet,1,France,Townshend Tariffs,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1917,19th,1929,Russia,Communism,1969,Iran,6,1,,,3,,,,,4,,,,,,9,,,,13,,,,,,9,,6,,,,,,,9,,6,,,,,,3,,,,,,12,,,,Texas,Maryland,Massachusetts,16,13,12,Alaska,California,10,20,15,14,41,California,1,,,Alaska,,,,,,,,Georgia,,,,,,,,,,,,,,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Easy,,1,1
R_D7CWnU5gpEHULPb,Default Response Set,1/4/17 17:00,1/4/17 17:19,,,,,1,0,6,1,0,P,1,Yes,1,1,32,Female,american,Associate's Degree,Yes,Washington,Kentucky,16 to 20,Kentucky,1,11-Sep,black president,marthon bombing,war,mlk,donald trump president,black lives matter,legal weed,internet,social media,1,France,Tea Act,The Bill of Rights,John Tyler,Theodore Roosevelt,England,Dred Scott v. Sanford,1751-1755,1919,21st,1929,Russia,Socialism,1967,Kuwait,35,1,,6,,,,,39,,,,,10,7,,,,,,,,,,,,,,,,,,,29,30,,,,,56,21,,,,,,,,23,,14,,California,Mississippi,Louisiana,22,41,43,Alaska,Arizona,25,25,30,20,0,Kentucky,1,,,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Neutral,,1,1
R_2czmNrNDgSadgYs,Default Response Set,1/4/17 17:26,1/4/17 17:33,,,,,1,0,14,1,0,NP,1,Yes,1,1,50,Female,American,Bachelor's Degree,Yes,Oklahoma,Georgia,11 to 15,New York,1,revolutionary war,constitution,civil war,emancipation of slavery,voting rights for people of color and women,industrial revolution,great depression,world war 2,JFK assassination,Lincoln assassination,1,France,Stamp Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1917,19th,1929,Russia,Communism,1969,Iran,8,1,,,,3,28,,,,,,6,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,3,,1,,,3,,29,,,,3,New York,Pennsylvania,California,42,36,30,North Dakota,California,10,20,20,20,30,North Dakota,1,,,,,,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,No,,Somewhat Difficult,thanks,1,1
R_2Sxf51wmS72h17f,Default Response Set,1/5/17 10:03,1/5/17 10:08,,,,,1,0,7,1,0,NP,1,Yes,1,1,27,Male,American,Master's Degree,Yes,Georgia,Georgia,More than 20,Georgia,1,US Revolution,Civil War,Landing on the Moon,World War I,World War II,Assassination of Honest Abe,Manhatten Project,Vietnam War,Korean War,11-Sep,1,Spain,Tea Act,The Bill of Rights,John Tyler,Warren G. Harding,France,Marbury v. Madison,1861-1865,1917,19th,1931,Russia,Socialism,1967,Iran,73,1,,,,,,,,59,,,39,,,72,,,80,,,,,46,,,52,,,,,63,,79,74,,,,,,,,,,,76,,,,,,,Pennsylvania,Delaware,New York,69,78,75,Alaska,New York,20,20,20,20,20,Kansas,1,,,,,,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Somewhat Easy,,1,1
R_26m86ZJuCTDejVW,Default Response Set,1/5/17 10:02,1/5/17 10:09,,,,,1,0,11,1,0,P,1,Yes,1,1,41,Female,usa,"Advanced Degree (PhD, JD, MD, etc.)",Yes,New York,New York,More than 20,New York,1,war of independence,civil war,obama becoming president,emancipation proclamation,edison inventing light,bell inventing phones,whitney inventing cotton gin,louisiana purchase,civil right movement,assassination of martin luther king jr,1,Spain,Stamp Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Dred Scott v. Sanford,1861-1865,1914,20th,1929,Russia,Communism,1969,Iran,70,1,2,,,1,,1,,,,2,2,,,,,,,,,1,,,,,,,,,1,,,,2,,,,,20,1,,,,,,,,,,,,New York,Pennsylvania,Massachusetts,60,15,15,Hawaii,Iowa,100,0,0,0,0,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,,,,,,,,,,,,,,,,,,,No,,Somewhat Difficult,,1,1
R_296cw0N0YPsi9DH,Default Response Set,1/5/17 10:04,1/5/17 10:12,,,,,1,0,8,1,0,NP,1,Yes,1,1,40,Female,United states,Master's Degree,Yes,Indiana,Georgia,1 to 5,Indiana,1,Constitution creation,Slavery abolishment,Geoge Washington presidency,Abraham Lincoln assasination,WW1,WW2,Vietnam War,9/11 attacks,Challenger,Man on the moon,1,France,Stamp Act,The Bill of Rights,Alexander Hamilton,Theodore Roosevelt,France,Plessy v. Ferguson,1861-1865,1914,21st,1929,Japan,Communism,1967,Saudi Arabia,29,1,,,,,1,13,,,,,,,,1,5,,,,11,1,,6,1,,,,,,,,,,7,,,,,,,,,,,8,,,,,,,Delaware,Massachusetts,New Hampshire,26,34,25,Florida,Texas,14,34,27,25,0,California,1,,,,,,,,,,,,,,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Very Difficult,,1,1
