subNum,dropReason
15,Did not give 10
31,Nonsense answer
36,Italy
51,Italy
56,Did not give 10
68,No responses
125,Only people
135,Numbers
147,Italy
148,Did not give 10
149,Did not give 10
153,Did not give 10
154,Did not give 10
159,Did not give 10
194,Italy
204,Nonsense answer
205,Nonsense answer
215,Nonsense answer
249,Italy
252,Nonsense answer
253,Italy
303,Italy
320,Not enough
351,Not enough
369,Not enough
376,Italy
381,Nonsense answer
394,Italy
404,Italy
408,Italy
411,Italy
417,Nonsense answer
422,Nonsense answer
423,Numbers
426,Nonsense answer
432,Did not give 10
443,Italy
451,Did not give 10
455,Italy
459,Did not give 10
470,Did not finish
477,Italy
499,Italy
503,Numbers
512,Italy
637,Italy
655,Did not give 10
676,State focused
685,Numbers
718,Did not give 10
732,Italy
741,Italy
747,Numbers
772,Italy
817,Italy
865,Numbers
870,Italy
881,Italy
921,State focused
970,Italy
1002,Nonsense answer
1009,Italy
1020,Italy
1027,nonsense answer
1046,Italy
1075,Italy
1082,Italy
1104,Italy
1130,No responses
1151,Italy
1157,State focused
1163,Italy
1174,Italy
1263,Italy
1270,Italy
1290,Numbers
1329,Did not give 10
1331,Did not give 10
1334,State focused
1347,Italy
1385,Did not give 10
1389,Did not give 10
1416,Italy
1424,Italy
1453,State focused
1468,Did not give 10
1473,Did not give 10
1497,Numbers
1507,Did not give 10
1509,Italy
1512,Did not give 10
1609,State focused
1649,Italy
1691,Italy
1711,Numbers
1744,Did not give 10
1768,Italy
1814,Italy
1847,Italy
1853,Not US history
1870,Italy
1921,Did not give 10
1926,Numbers
1969,Did not give 10
1990,State focused
2033,Italy
2054,Did not give 10
2084,World history
2102,State focused
2117,Italy
2177,Italy
2182,Italy
2220,Nonsense answer
2229,Did not give 10
2233,Italy
2238,Italy
2250,Italy
2388,Italy
2418,Italy
2430,Italy
2479,Numbers
2542,Italy
2586,Did not give 10
2601,Nonsense answer
2605,Italy
2650,State focused
2656,Did not give 10
2664,Numbers
2688,Italy
2721,Did not give 10
2863,Did not give 10
2868,Did not give 10
2918,Did not finish
2920,Missing data
2921,Did not finish
2922,Missing data
2926,Did not finish
2929,Did not finish
2930,Did not finish
2931,Did not finish
2936,Did not finish
2943,Did not give 10
2964,Italy
2980,Numbers
2986,Italy
2994,Did not finish
2996,Did not finish
2999,Did not finish
3000,Did not finish
3001,Did not finish
3002,Did not finish
3003,Did not finish
3004,Did not finish
3006,Did not finish
3007,Did not finish
3008,Did not give 10
3009,Did not finish
3013,Did not finish
3015,Did not finish
3016,Did not finish
3017,Did not finish
3021,Did not finish
3022,Did not finish
3023,Did not finish
3029,Did not finish
3032,Did not finish
3033,Did not finish
3035,Did not finish
3037,Did not finish
3038,Did not finish
3043,Italy
3044,Did not finish
3054,Did not finish
3056,Did not finish
3057,Did not finish
3058,Did not finish
3060,Did not finish
3061,Did not finish
3062,Did not finish
3064,Did not finish
3066,Did not finish
3069,Did not finish
3073,Did not finish
3079,Did not finish
3082,Did not finish
3083,Did not finish
3139,Did not give 10
3147,Italy
3174,Did not give 10
3181,Italy
3187,Italy
3211,Italy
3217,Italy
3234,Numbers
3246,Italy
3253,Italy
3272,Italy
3278,Numbers
3288,Did not give 10
3290,Italy
3294,Numbers
3298,Did not finish
3301,Did not finish
3302,Did not finish
3303,Italy
3309,Did not finish
3310,Did not finish
3313,Italy
3315,Did not finish
3317,Did not finish
3318,Did not finish
3320,Did not finish
3322,Did not finish
3323,Did not finish
3329,Did not finish
3330,Did not finish
3336,Numbers
3340,Did not finish
3350,Italy
3352,Did not finish
3353,Did not finish
3356,Did not finish
3360,Italy
3370,Did not finish
3382,Did not finish
3383,Did not finish
3384,Did not finish
3386,Did not finish
3387,Did not finish
3391,Numbers
3394,Did not finish
3395,Did not finish
3396,Did not finish
3405,Did not finish
3407,Did not finish
3409,Did not finish
3411,Numbers
3448,World history
362,duplicate Mturk ID
364,duplicate Mturk ID
366,duplicate Mturk ID
367,duplicate Mturk ID
515,duplicate Mturk ID
569,duplicate Mturk ID
574,duplicate Mturk ID
575,duplicate Mturk ID
737,duplicate Mturk ID
855,duplicate Mturk ID
863,duplicate Mturk ID
990,duplicate Mturk ID
1051,duplicate Mturk ID
1060,duplicate Mturk ID
1119,duplicate Mturk ID
1417,duplicate Mturk ID
1513,duplicate Mturk ID
1514,duplicate Mturk ID
2794,duplicate Mturk ID
