"","state","Rrating","RratingSD","NR.State.Mean","NR.State.SD","Prime.Rrating","Prime.RratingSD","NoPrime.Rrating","NoPrime.RratingSD","State100PercentMean.ALL","State100PercentSD.ALL","State100PercentMean","State100PercentSD","noFail100Mean","noFail100SD","Narc.Index","RCount","NRCount","State100PercentCount"
"Alabama","Alabama",14.2698412698413,13.8135117924051,11.3780487804878,15.3309598710111,13.6785714285714,10.5936863497175,14.7428571428571,16.0721587135732,8.93650793650794,7.58792125019294,7.03636363636364,4.69816211647994,8.67741935483871,7.36356603192397,2.89179248935347,63,574,55
"Alaska","Alaska",12.28,13.6860423462022,6.98542805100182,11.7578893706864,10.2916666666667,11.3232318580052,14.1153846153846,15.5520466127823,6.5,6.36396103067893,6.5625,6.4077952858633,6.5,6.36396103067893,5.29457194899818,50,549,48
"Arizona","Arizona",9.96610169491525,10.5044589903114,7.93816254416961,12.5169503261513,7.63333333333333,7.60890283147647,12.3793103448276,12.5197381108605,5,4.54858826147342,4.74137931034483,4.12761493863826,5,4.54858826147342,2.02793915074564,59,566,58
"Arkansas","Arkansas",12.8245614035088,11.3564374554346,8.53164556962025,12.5635843826839,11.75,9.06618178584089,13.6060606060606,12.8499498878872,6.80701754385965,4.68446748189935,6.80701754385965,4.68446748189935,6.80701754385965,4.68446748189935,4.29291583388852,57,553,57
"California","California",22.1617647058824,18.6656443080958,17.4179894179894,18.6795525341538,23.125,22.0961973082219,21.3055555555556,15.2611915738571,14.1911764705882,10.6213771388932,10.4358974358974,9.52502209361955,14.2295081967213,10.8587805371551,4.74377528789293,68,567,39
"Colorado","Colorado",10.4666666666667,11.1392825540611,9.86206896551724,15.3052400250115,11.448275862069,13.0591681175021,9.54838709677419,9.1135017407413,5.55,7.31940768187968,5.25862068965517,7.18321714766035,5.30508474576271,7.12996164154729,0.604597701149425,60,580,58
"Connecticut","Connecticut",22.4576271186441,22.9161304685513,13.4925619834711,16.9864192213014,19.6857142857143,22.2363923075921,26.5,23.7614960735256,13.5508474576271,15.8806689349396,7.95238095238095,5.79719183891557,13.5555555555556,16.3079638684476,8.965065135173,59,605,42
"Delaware","Delaware",33.14,27.980321072978,15.2491638795987,18.3440903989831,35.6666666666667,27.4198131621307,30.1739130434783,28.9508237815171,18.42,14.734507602418,12.7916666666667,11.4359432099608,17.3333333333333,14.7440145453089,17.8908361204013,50,598,24
"Florida","Florida",18.7213114754098,18.8530555857143,11.4788273615635,15.361400788518,17.0294117647059,14.969636529499,20.8518518518519,22.9643598509043,10.655737704918,10.6471987644664,7.18367346938776,5.7179303853017,9.66101694915254,9.11726321892464,7.24248411384632,61,614,49
"Georgia","Georgia",27.8461538461538,22.114128759673,12.3865698729583,15.6612237195774,30.5,20.9633012667375,25.1923076923077,23.3135483884701,14.1346153846154,12.4286652323173,10.9722222222222,10.5220479025469,12.8571428571429,11.986926676585,15.4595839731956,52,551,36
